Tweet Text,# number,Medical relevance,X,Does X prevent cancer 
@isitabane @WonderBoy_17 @Ryanmorehouse00 Wear sunscreen. Drink water. Try to eat a wide variety of colorful fruits and vegetables. Engage in things that relieve stress. Work on securing access to health care for you and your community. These are things you can do to help prevent and ease the burden of cancer.,48,yes,"sunscreen, water, fruits and vegetables, relieve sress, access to health care",yes
California reassures coffee drinkers their daily fix won't give them cancer and moves to prevent scary warnings on packaging. https://t.co/RBgSijeoXM,45,no,none,none
"We have have developed a broader policy framework that addresses physical activity, alcohol consumption and breastfeeding, in addition to diet, called 'Driving action to prevent cancer and other #NCDs': https://t.co/1zhW1reHNi #beatNCDs #EnoughNCDs #HealthandCancer https://t.co/EKsjj7pNjS",41,yes,none,none
"Finally, if we LISTEN FIRST, we will prevent the following long term effects: Alcoholic hepatitis. Liver cancer. Pancreatitis. Cardiomyopathy. High blood pressure. Stroke. Mouth and throat cancer. Breast cancer. Weakened immune system. Suicidal ideation. Etc. #NoExcuse4DrugAbuse",34,yes,none,none
"Hemp could free us from oil, prevent deforestation, cure cancer, and It's environmentally friendly. Why isn't there mass funding into this wonder crop? https://t.co/x72pYs05Sc",31,no,none,none
Strawberries are a great treat--both delicious + nutritious. You can enjoy them plain or try tossing them with a little balsamic vinegar for a change. They contain quercetin which may help lower inflammation levels and may help to prevent cancer.  #diet #nutrition #Health #food https://t.co/WIp11jn5mC,29,yes,strawberries,yes
"Hemp Could Free Us From Oil, Prevent Deforestation, Cure Cancer, and It’s Environmentally Friendly https://t.co/M7poVCXzKP #INDIGENOUS #TAIRP https://t.co/azQ23PWxUv End the deadly &amp; vile agenda of the worlds biggest drug cartel &amp; their drug pushers as they continue to use lobbying &amp; political bribery to keep cannabis/hemp off the market in order to make a fortune selling its lethal, addicting &amp; toxic opioids to the vulnerable public. https://t.co/MVPTfWuC0I",28,no,none,none
"Can specific foods and food patterns prevent major chronic diseases such as type 2 diabetes, cardiovascular disease, or cancer? An assessment of the available evidence https://t.co/PQbuxqLZjS https://t.co/M0C6cEFEkw",25,yes,none,none
"HPV vaccinations can prevent cervical cancer and other HPV related cancers, literally saving lives! Are you IN?! #WereInWednesdays #2shots2stopcancer https://t.co/iP2gPCKmeV",23,yes,HPV vaccination,yes
"We have developed a broader policy framework that addresses physical activity, alcohol consumption and breastfeeding, in addition to diet, called 'Driving action to prevent cancer and other #NCDs: https://t.co/Gv4LZ1bC3s #BeatNCDs https://t.co/i4PY43431I",22,yes,none,none
"You’ve got 95 days to celebrate the summer. Here’s what you can do stay healthy and prevent chronic diseases like type 2 diabetes, heart disease, stroke, and some forms of cancer. https://t.co/2UnZM8xgd0 #HealthySummer https://t.co/GD1kDcpC6g",22,yes,none,none
"Hemp Could Free Us From Oil, Prevent Deforestation, Cure Cancer, and It’s Environmentally Friendly https://t.co/M7poVCXzKP #INDIGENOUS #TAIRP https://t.co/azQ23PWxUv End the deadly &amp; vile agenda of the worlds biggest drug cartel &amp; their drug pushers as they continue to use lobbying &amp; political bribery to keep cannabis/hemp off the market in order to make a fortune selling its lethal, addicting &amp; toxic opioids to... https://t.co/MVPTfWuC0I",21,no,none,none
"Say No to #tobacco, excess salt &amp; sugar, junk food to prevent #hypertension, #diabetes, and #cancer. Visit our website for more details: https://t.co/2NCg0Cn0me #SwasthaBharat #NHPIndia #HealthForAll https://t.co/TV3hhruzMb",21,yes,"tobacco, excess salt & sugar, junk food",yes
"Blueberries- Antioxidants helps to prevent illnesses such as heart disease, cancer, and eye disorders.",20,yes,blueberries,yes
"The Oregonian newspaper ran a column describing Portland as a city overrun by ""dangerous,"" ""predatory homeless"" who ""prowl our streets,"" ""prey on people,"" represent ""cancer on the city,"" and prevent us from feeling ""safe in our homes anymore.""   Here's some data. https://t.co/D2lQ4rqN9k",18,no,none,none
"Cervical screening aims to find and treat abnormal cell changes, which can prevent cervical cancer before it's even had a chance to develop: https://t.co/HrDrYIFq80 #CervicalScreeningAwarenessWeek https://t.co/jDpAGl1SRk",18,yes,cervical screening,yes
Lung #cancer is the leading cause of cancer death in both men and women. Key points to prevent this disease. #lcsm https://t.co/SqgjDKmnMt https://t.co/ZJjDMDkPbl,18,yes,none,none
RT @MailOnline: New cancer drugs could halt autism symptoms AND prevent their onset by blocking a protein linked to both conditions https:/…,18,yes,none,none
RT @sloan_kettering: Are you doing all you can to help prevent cancer? Check out some of our cancer prevention tips and add your own! https…,18,yes,none,none
HCC Symposium jointly sponsored by @AASLDtweets and @EASLedu at @GlobalHepSummit.  Prevent liver cancer by treating viral hepatitis! https://t.co/kBH5y8KCvU,18,yes,treatment of viral hepatitis,yes
"2. Researchers @EdinburghUni have discovered that taking aspirin can help to prevent bowel cancer. Aspirin blocks a key process linked to tumour formation, and this research paves the way for the development of new, safer therapies.  👉 https://t.co/oiT0opqn8D",17,yes,aspirin,yes
"Next Friday 6 July is #ActionMesotheliomaDay, a day to raise awareness and pay tribute to all those people living with mesothelioma cancer. We can prevent cancer caused by asbestos exposure - find out how by downloading our free #NTTLasbestos resources https://t.co/7Tz4YFPjY5 https://t.co/5EcjKrrHV5",17,yes,none,none
Out for a run - don't take home a nasty case of #Sunburn. Run early or late and #CoverUpMate. Levels of skin cancer continue to rise. Make sure you protect yourself and prevent skin cancer. https://t.co/X3BKmuXuoV https://t.co/5X2vu6e5TT,17,yes,none,none
"Aside from being the best preventive drug for ailments such as heart disease and even cancer, physical activity has also been found to be an important strategy to prevent dementia. https://t.co/gwOjTpV74q",17,yes,physical activity,yes
[BREAKING NEWS] Scientists just figure out how to prevent cancer permanently!  Here are the steps: 1. Click Fake Love - BTS in the poll. 2. Vote for Fake Love on World Cup instagram story. 3. Stream Fake Love by @BTS_twt on repeat everyday.  #FIFAFakeLove https://t.co/QyIslQrhxI,16,no,none,none
"Blueberries- Antioxidants helps to prevent illnesses such as heart disease, cancer, and eye disorders.  @delavinkisses  @mor1019 #MORPinoyBiga10 Pretty Boy by Kisses Delavin",16,yes,blueberries,yes
Lung #cancer is the leading cause of cancer death in both men and women. Key points to prevent this disease. #lcsm https://t.co/SqgjDK4MUV https://t.co/S2BCK0USPk,16,yes,none,none
"Over the past 20 years, medical researchers have found that a glass of red wine a day can prevent heart attacks and even fight cancer.",16,yes,red wine,yes
"Viral hepatitis infection is the leading cause of liver cancer. Join #NOhep today to eliminiate this deadly disease and help prevent 300,000 cancer deaths a year! #LetsDoThis https://t.co/PCTmU8eeSt",16,yes,treatment of viral hepatitis,yes
"Banju is made with elderberry, a plant know for its ability to boost the immune system, ease allergies, and even prevent cancer! https://t.co/xDsUu3QAhh",15,yes,elderberry,yes
"Alfie was diagnosed with neuroblastoma in 2005 and has since relapsed for the 3rd time. Now working with @Bradleysfight we are trying to raise £400,000 for anti body therapy and a vaccine that will prevent Alfie's cancer returning.  To donate TEXT WARD01 £amount 70070. https://t.co/K2vPKx54LS",14,yes,antibody therapy and vaccine,yes
"Expanding the HPV vaccine roll-up to teenage boys in the UK is hella-dumb. Nice for profits though! Are we going to wait until 85% of kids have been disabled before admitting there's a problem?! #vaxxed #hpv Yes because a vaccine which is free at the point of delivery, and can help prevent head, neck, penile, and anal cancer in boys is ""hella dumb"", Alan.  And on the subject of profit, is your snake oil free at the point of delivery?  Fucking turd twizzler. https://t.co/wRpo3rw4cz",14,yes,HPV vaccine,yes
"Check out this animation to learn how cancer vaccines work to prevent and treat cancer. #CIM18 #curecancerfaster #curestarthere #immunotherapy  To learn more about immunotherapy, visit https://t.co/9QGbvvP33y https://t.co/2UDdpAr4dO",14,yes,vaccines,yes
"#GoVeganAndBeHealthy vegetarian food is good for our health because Vegetarian diets—naturally low in saturated fat, high in fiber, and replete with cancer-protective phytochemicals—help to prevent cancer. https://t.co/g1xwiok4Qa",14,yes,vegeterian diets,yes
"#GoVeganAndBeHealthy vegetarian food is good for our health because Vegetarian diets—naturally low in saturated fat, high in fiber, and replete with cancer-protective phytochemicals—help to prevent cancer. https://t.co/Tb0Ir6HZVM",14,yes,vegeterian diets,yes
“Should #BRCA carriers have a hysterectomy when having their ovaries and fallopian tubes removed to prevent ovarian/tubal cancer?” Consultant Gynaecologist Adam Rosenthal answers this common question &gt; https://t.co/pt3B089kSo https://t.co/dEdssg2YZ7,13,yes,none,none
For 20 years I’ve been asked to explain how my background in evolutionary biology applies to medicine- Using the principles of evolution to treat and prevent cancer https://t.co/2ZOlOc6CxL,13,yes,nonn,none
"Does the Mediterranean diet prevent heart disease? A big study found it did. Now the investigators concede it was flawed. https://t.co/OTYQqqzoqU Although the PREDIMED findings survived the reanalysis, many people including me remain skeptical.  E.g., the interventions seem to have also had a huge effect on cancer and diabetes risk.  Really? https://t.co/N0KV5HkJyN https://t.co/SXRLg5LjfG https://t.co/hRoshYdDos",12,yes,mediterranenean diet,yes
"Despite much research, vitamin and mineral supplements have not been shown to prevent #cancer. https://t.co/5t5j66MDj2 https://t.co/YsWcaAMi6Z",12,yes,vitamin and mineral supplements,no 
Uganda Cancer Institute and Childcare for Cancer Foundation start a drive to equip students across the country with knowledge to prevent and fight cancer. This and more on #NTVATONE coming up https://t.co/fuMIKJLkAI,11,no,none,none
"RT @dnorthfelt Exercise is an important strategy to prevent diseases, alleviate cancer burden(reduce incidence and relapse risk), and promote wellness #Physiatry @ACRM_LM #CancerRehab @BethFratesMD @EricWisotzkyMD @JulieSilverMD @AAPMR @AAPhysiatrists @ACRMtweets @physiatrynow https://t.co/vRE7QnJeo0",11,yes,exercise,yes
"PREPARE GINGER IN THIS OLD WAY AND PREVENT CANCER, TREAT ARTHRITIS, REDUCE CHOLESTEROL AND LOWER BLOOD SUGAR LEVELS! - Health Advice 365     https://t.co/NFsvt6EgM4 https://t.co/PQCoFTNcq8",11,yes,ginger,yes
Special thanks to @jkeirrr for her work on occupational cancer. I wipe down the cab area where we sit each day to prevent exposure. And thanks to @firewipes for helping us reduce the risk https://t.co/vyVPlYyxvq,11,yes,none,none
"Olives: Can prevent heart attack, stroke , cancer, rheumatoid arthritis, and migraine headaches.",11,yes,olives,yes
"We're at an impasse, gentlemen. @SGottliebFDA, you prefer more smoking for kids, &amp; @theNCI Director Ned @NCIDirector says combustible #tobacco will prevent and cure #cancer.  I'm not sure how this will end.  I suggest a contest to see who can tweet the most inappropriate thing? https://t.co/iYOgEgEdib",11,yes,"tobacco, excess salt & sugar, junk food",no
Even adding just an extra vegetable or two to each meal can reduce your animal consumption. And prevent cancer.,11,yes,vegeterian diets,yes
A little morning jolt to kick cancer’s ass and prevent a piece of shit molecule from ever seeing the light of day. They didn’t have this shit 5 years ago.  #Blessed https://t.co/z8dOWnZYnz,10,no,none,none
"I’m turning 25 this year so I went and got my 1st cervical screening. I spoke to the nurse and she said 50% of peeps who need a cervical screening in LDN still aren’t going. It takes 2 mins  if you have a cervix and ur 25 + don’t delay, prevent cervical cancer!",10,yes,cervical screening,yes
"Proponents of ""darkness therapy,"" which involves 7 days of deprivation from all light, claim it could prevent cancer and ease depression. But the evidence is murky at best, Morgan Childs reports https://t.co/oQIcyrrKS4",10,yes,darkness therapy,yes
"Proponents of ""darkness therapy,"" which involves 7 days of deprivation from all light, claim it could prevent cancer and ease depression. But the evidence is murky at best, Morgan Childs reports https://t.co/QQlRmSbc9A",10,yes,darkness therapy,yes
"Proponents of ""darkness therapy,"" which involves 7 days of deprivation from all light, claim it could prevent cancer and ease depression. But the evidence is murky at best, Morgan Childs reports https://t.co/YrJoHtYFE5",10,yes,darkness therapy,yes
"Hey, anti-vaxers! HPV *does* cause cancer, HPV vax *does* prevent HPV, and cancer cases *have* gone down since the introduction of the vax! HPV test is better than Pap smear at detecting precancerous cervical changes, study says https://t.co/Lwhc1Nw5a5",10,yes,HPV vaccination,yes
"@cheritaisrandom @CardiiEBT While anyone can get skin cancer and sunburn, the darker your skin, the less likely it is. The melanin helps prevent it. Otherwise we would have never made it out if Africa.",10,yes,melanin,yes
"A person can do everything “right” and still get breast cancer. For breast cancer, most risk factors that we have some control over, like exercising and eating healthy only have a small effect on risk. This means there is no one behavior that will prevent breast cancer.",10,yes,none,none
"It's been an excellent 2 days at the #CRUKAllFellows meeting, hearing about the outstanding research our #CRUKFellows are doing to better treat, diagnose &amp; prevent cancer. We hope the attendees enjoyed getting to know their community and thank you to all for making it a success! https://t.co/qGlPzbrNtP",10,yes,none,none
Lung #cancer is the leading cause of cancer death in both men and women. Key points to prevent this disease. #lcsm https://t.co/SqgjDKmnMt https://t.co/Zv4OgNHAhd,10,yes,none,none
RT @MensHealthMag: 5 ways you CAN prevent cancer — and 5 myths you can ignore https://t.co/HJlBEizcE9,10,yes,none,none
"Horses are part of our Eco system . They help prevent wildfires. They reseed native grasses. They live in harmony with nature. Cattle outnumber horses 37 to one. $$$ what’s wrong with this picture? Same population as when first protected. https://t.co/t2K8cR5pVS In addition, animal protein is linked to cancer! Get the facts, read Proteinaholic, by Dr Garth Davis...we have been led to believe lies! Save yourself and a loved one, adopt a plant based diet, save the universe, save yourself, Save the wild horses! https://t.co/wutcF2whyN",10,yes,plant based diet,yes
Vaccines prevent infection-associated cancers – they lower the burden of cancer in the long-run and are available in poor countries at low-cost.   (Hepatitis B protects against liver cancer and HPV protects against cervical cancer!)   #HLM3 #EnoughNCDs,10,yes,vaccines,yes
Just let the cancer have that organ and it won't spread.  Appeasement in the 1930s is afaik a powerful image for Americans the way their history is taught; why not make the link? Fascist apologists are attempting appeasement. https://t.co/NV6gVRr7fV the idea that a little fascism will prevent a lot of fascism is very popular with people who don't want to admit to themselves that they are fascists. https://t.co/MzShtCgqaR,9,no,none,none
Thank you @Jaredward11 @BrysonPanas from @JimInhofe office (as a follow up to  @AmCollegeGastro Governors Capitol Hill visit) to visit  @SSMHealthSaints endoscopy unit and learning about colonoscopy and its power to screen and prevent colon cancer.,9,yes,colonoscopy,yes
Come and find out more about Chris &amp; Gabs World Cycling Tour https://t.co/5pfwwvBinn FREE event! In support of Prevent Breast Cancer is the only UK charity funding ground-breaking research solely aimed at preventing breast cancer for future generations https://t.co/L0NmBaE2Lk,9,yes,none,none
"The effects of head and neck cancer treatments: the scars, the disfigurement, the inability to eat normally, nerve pain, dry mouth. We need to prevent this cancer or at least detect it early. #cancer, #WHNCDay, #headandneckcancer",9,yes,none,none
"Palliative care addresses the person as a whole, not just their #cancer. The goal is to prevent or treat the symptoms and side effects of the disease and its treatment, in addition to any related psychological, social, and spiritual problems https://t.co/gp4xpJHSEm https://t.co/S1IzQEYtXS",9,yes,palliative care,yes
Here's a really fantastic article from @nutrition_facts on how and why a plant-based diet can help prevent lung cancer. (Know anyone with asthma or COPD?). Delicious recipes also included. https://t.co/XzRCNZ3YK9,9,yes,plant based diet,yes
@DrJenGunter @goop Interesting that Oprah chose fake science ... but then she has Christine Northrup on her show telling millions of viewers that HPV infection could be prevented with diet and lifestyle changes and that the vaccine doesn’t prevent cancer.  So. There’s. That 🙅‍♀️,9,yes,vaccines,no
A privilege to speak at today’s HPV cancer prevention meeting @RCPI_news. Compelling scientific evidence presented highlighting opportunities to prevent HPV associated cancer with safe and effective vaccine. #HPVfreeIreland.,9,yes,vaccines,yes
"Hemp Could Free Us From Oil, Prevent Deforestation, Cure Cancer, and It’s Environmentally Friendly https://t.co/M7poVCXzKP #INDIGENOUS #TAIRP https://t.co/azQ23PWxUv",8,no,none,none
Is there a smarmier salesperson than Akshay Kumar in Bollywood? A “nutraceutical” that helps prevent “pollution-like cancer and other chronic diseases”. https://t.co/jesKpPs5z1,8,no,none,none
"RT @medicannabisuk: I know many who are 'trying it', and others macrodosing to prevent it!! https://t.co/ENVS0oKLuG",8,no,none,none
"At least in the developed world, cancer, heart diseases, and neurodegenerative diseases are among the greatest causes of mortality. One emerging and very promising way to prevent or cure these diseases is through bio-nanotechnology. https://t.co/EhTbIBXKU7",8,yes,bio-nanotechnology,yes
"Early research suggests that consuming #fermented dairy products may help to prevent and treat conditions such as osteoporosis, obesity, cancer and mental #health disorders https://t.co/QVY8SFXLhR https://t.co/kVjGOtroAO",8,yes,consuming dairy products,yes
"End the deadly &amp; vile agenda of the worlds biggest drug cartel &amp; their drug pushers as they continue to use lobbying &amp; political bribery to keep cannabis/hemp off the market in order to make a fortune selling its lethal, addicting &amp; toxic opioids to the vulnerable public. https://t.co/MVPTfWuC0I Hemp Could Free Us From Oil, Prevent Deforestation, Cure Cancer, and It’s Environmentally Friendly https://t.co/M7poVCXzKP #INDIGENOUS #TAIRP https://t.co/azQ23PWxUv",8,yes,hemp,yes
"This Saturday at 10 am, join us for Smart Health, a free community event where you can learn how to prevent cancer and adopt other important healthy habits. Lunch provided and raffle prizes will be awarded. Reserve your space, call 314-747-1109 or email wilsonmarilynl@wustl.edu. https://t.co/UgMFxxAlG2",8,yes,none,none
"Early detection, , screening, knowing warning signs ... these factors can prevent a world of pain with head and neck cancer. Warning sign 1: a non-healing ulcer (over two weeks), often on side of tongue. Get it checked. #Cancer, #headandneckcancer, #HeadNeckNZ",8,yes,"screening, early detection",yes
"Please join us in observing #UVSafetyMonth this July. The best way to prevent skin cancer is by taking preventative measures such as applying sunscreen, limiting hours of exposure, and covering up. https://t.co/vrMgcLcLQW",8,yes,sunscreen,yes
"“Vaccination will prevent those 31,000 cancers each year in the U.S. Kids are vaccinated at 11 and 12. People get these cancers at 40, 50, age 60,” Deanna Kepka explains. https://t.co/bvSnPZPCHb",8,yes,vaccination,yes
Dr Katie O'Brien from @IrishCancerReg outling the huge burden of HPV-caused cancers in Ireland  Vaccination safely prevents the root causes of these cancers. Just think what you would do to prevent 8 people every week getting cancer and more than 2 dying from it. #hpvfreeireland https://t.co/cUTQ98P1G0,8,yes,vaccines,yes
"Prof. James Paul O'Neill showing what Head &amp; Neck cancer really looks like.  I find it amazing to think that a safe vaccine could prevent this happening in our kids  Boys &amp; girls! #hpvfreeireland  @RCPI_news https://t.co/zpWG1PmvDU The cervical cancer vaccine works on nasty head and neck cancers too. Please parents, vaccinate your kids, listen to the medics, not the charlatans and shamens. #VaccinesWork https://t.co/twCyaW42PV",8,yes,vaccines,yes
"Did you know @MayoClinic's  research connection to DONNA Marathon Weekend expands beyond breast cancer? For the past 11 years, Mayo researchers have been collecting data from you to predict and prevent running injuries! The latest updates - https://t.co/ktL1qbErRY #TogetherWeWill https://t.co/2TERpkQmQQ",7,no,none,none
"Heart disease is the #1 killer of women, even more than cancer! JOIN ME in this amazing #GoRedGetFit 30 days challenge with the @American_Heart &amp; @GoRedForWomen JOIN HERE https://t.co/mKS5qaCNUr Learn EVERYTHING you need to prevent and improve heart disease! #EmPOWEREDToServe",7,no,none,none
"Huge thank you to @AA_Chick @advocacysata for visiting us today and educating on how to take care of our breasts to prevent breast cancer, as part of #LDWeek! Here is a short clip from their talk 🤗💜 #TreatMeWell @mencap_charity @BCU_LDnursing https://t.co/p8QdVBAbCX",7,no,none,none
"Know about the routine to be followed to prevent #hypertension, #Diabetes, and #Cancer. Visit our website for more details: https://t.co/2NCg0Cn0me #SwasthaBharat #NHPIndia #HealthForAll https://t.co/JzEVJzKYb1",7,no,none,none
RT @AWDtwit: And so it begins! #AGDQ2017 @GamesDoneQuick Donate to help prevent cancer! https://t.co/uPZi9uUrXb,7,no,none,none
"We need to be more understanding on #MentalHealth issues. Anxiety and depression is as real as cancer! No one chooses to be depressed or worried or scared! Be there, care, forgive and show compassion as it may just prevent another suicide! #MentalHealthMatters https://t.co/6rGJZiObI4",7,no,none,none
"#coconut Water Kefir Can Help Heal The Gut, Improve #immune Function And Prevent #Cancer . Here is How to Make it! https://t.co/kkLmj1DhWp https://t.co/IKOYIqaJc0",7,yes,coconut water,yes
Eating a colorful diet is a good way to make sure you’re getting a variety of #vitamins and #nutrients that can help prevent cancers. This recipe mixes a few colors from the rainbow and ends up with the “G” in ROY G BIV. #cancer #nfcr #blog #preventcancer https://t.co/VPcjHcvt4o,7,yes,colourful diet,yes
"HPV vaccinations can prevent cervical cancer and other HPV related cancers, literally saving lives! Are you IN?! #WereInWednesdays #2shots2stopcancer https://t.co/iP2gPCKmeV I’m in! Let’s eliminate HPV cancers! Our sons &amp; daughters deserve the protection we can provide them! Join me in protecting future generations. @ImmunizeNV @Immunize_USA @ImmunizedotCa @ImmunizeCa @ImmunizeCO  @DrNancyM_CDC @HPVRoundtable @MensHealthMag @SaludAmerica https://t.co/ajvJyxj6jY",7,yes,HPV vaccination,yes
RT @FilipJankuMD: Can we prevent colorectal cancer with #immunotherapy? Excellent research by Kyle Chang and ⁦@evilarsan⁩ ⁦@JAMAOnc⁩ https:…,7,yes,immunotherapy,yes
"#AmLiveNTV Sen Wamatang'i is being unrealistic, how will 100 Cuban doctors prevent cancer patients from going to India? the govt should get new cancer machines and nearly 2000 lives will be saved. Is that difficult? @ntvkenya @AMLiveNTV @NTVnewsroom",7,yes,new cancer machines,yes
"Researchers at @OSUCCC_James have developed a new process to test for Lynch syndrome, a disorder that increases the likelihood of developing several types of #cancers. This test will help doctors prevent cancer and develop new treatments. Learn more: https://t.co/P1gPgbo7vp",7,yes,new process to test lynch syndrome,yes
"TRICARE covers preventive services and screenings to prevent colon cancer, heart disease, and prostate cancer. To learn more, visit: https://t.co/EFEyScyNaO #MensHealth https://t.co/hvq7QKJHMe",7,yes,"screening, early detection",yes
Mouse models 👇🏼 New ‘triple therapy’ could boost treatment and prevent relapse of advanced #breastcancer: https://t.co/9xwYn7Urgf via @ICR_London #secondarybreastcancer #metastaticBC #BCCWW,7,yes,triple therapy,yes
NEWS: New ‘triple therapy’ could boost treatment and prevent relapse of advanced #breastcancer https://t.co/mHrO4muqtR https://t.co/XRDYlMZco0 News of a study part-funded by @breastcancernow and published in the journal Breast Cancer Research. @BioMedCentral @ICR_London https://t.co/bdMLzhkvtH,7,yes,triple therapy,yes
Prof. James Paul O'Neill showing what Head &amp; Neck cancer really looks like.  I find it amazing to think that a safe vaccine could prevent this happening in our kids  Boys &amp; girls! #hpvfreeireland  @RCPI_news https://t.co/zpWG1PmvDU Medical director of #PhysicianAssociate programme showing the harsh reality of HPV. HPV vaccine is so important. Head and Neck cancers CAN be prevented #hpvfreeireland https://t.co/4ZLZhT5TFB,7,yes,vaccines,yes
"Vegetarian diets naturally low in saturated fat,high in fiber and help to prevent cancer! Large studies in England and Germany have shown that vegetarians are about 40 percent less likely to develop cancer compared to meat-eaters! #GoVeganAndBeHealthy @FARMUSA",7,yes,vegeterian diets,yes
"Ladies and gentlemen, there’s a reason why people who live near to the equator have darker (tanned skin), it’s human revolution, it’s to prevent you from having skin cancer. I would like to urge you to stop with the whitening products obsession. It is madness.",7,yes,whitening product ,no
"Very balanced representation of the facts by Patricia. Excessive consumption is a bad thing, plenty of other mechanisms in the Bill to address this - cancer warning is a stretch - minimum unit pricing for one to prevent below cost selling  #BalanceTheBill https://t.co/GV8rurW6IH Tune in to  @BreakfastNT on Newstalk at 8.15 when ABFI Director Patricia Callan will be calling on the Government to #balancethebill at Cmmt stage in Dail tomorrow. Mandatory cancer warning labels on alcohol are unjustified and will cause huge reputational damage to 1.5bn exports",6,no,none,none
"Doctors mostly work alone, Ngcobo says. Regulations prevent doctors from forming groups of multi-disciplinary specialists. #HealthMarketInquiry Blame the govt. again from. Stopping team work and best practice. It's illegal for medical aids to pay doctors as a team. (say oncologist, anesthetist, breast cancer surgeon, plastic surgeon, psychologist, nurse) https://t.co/uaCgcSAGaA",6,no,none,none
She 'lost' her marriage because she took action to prevent getting breast cancer?  ???????????? I'm well and truly flabbergasted bruv https://t.co/DFCPKrw8xY,6,no,none,none
"UK #PM says #AI revolution will prevent thousands of #NHS cancer-related deaths . Medical records, info about #patient habits and #genetics, will be cross-referenced with data to spot those at an early stage of #cancer: Via: The Independent https://t.co/fV2naDVEKW https://t.co/7nfNebJFn6",6,no,none,none
These Alkaline Foods Can Help You Lose Weight and Prevent Heart Disease and Cancer - Health Advice 365     https://t.co/maZT168edH https://t.co/nSJTPFwcLy,6,yes,alkaline foods,yes
RT @da13thsun: Research Finds Aloe Vera May Prevent and Treat Skin Cancer http://t.co/ms7bFmRP,6,yes,aloevera,yes
"Do you know that Avocados:  1. Prevent bad breath​ 2. Prevents cravings and promotes fat loss​ 3 Good for your hair, skin and nails​ 4. Helps prevent cancer​ 5. Protects Liver from Damage.​ So now you have more reasons to eat Avocado pear especially now that it's in season! 😊 https://t.co/dBRnuqQHH6",6,yes,avocados,yes
Several drugs containing an ingredient used to treat high blood pressure and prevent heart attacks and strokes are being recalled because they were found to contain a cancer-causing impurity.  https://t.co/e70uzceWm9,6,yes,drugs,no
Teaching #cancer #children and their parents to #handhygiene to prevent #healthcare associated infections  #HAIs National Medical Center La Raza #Mexico   CONGRATS for championing a unique opportunity #patientengagement @pahowho https://t.co/6LMnlVVaBm,6,yes,handhygiene,yes
"Its summer time! Is time for warm nights, sunny days, watermelon, barbeques, lemonade, sea, sand, icecream... Enjoy summer also with Heliocare, most complete sun protection to prevent photoaging and skin cancer! https://t.co/PvLIijUWsh",6,yes,heliocare,yes
New Podcast  The topic this week is 'Eat to Beat Cancer' - with the phenomenal @dr_ailsa. We discuss evidence on how lifestyle factors can help prevent and manage cancers of various types.  Have a listen - I'd love to hear your thoughts. @HarperCollinsUK  https://t.co/25UKe8ob9t https://t.co/ePNEDlCOX6,6,yes,lifestyle,yes
