Tweet Text,# number,Medical relevance,X,Does X cause cancer 
"Cancer is my biggest fear. Cause you could live the most moral life, exercise, eat well and still one day you wake up and your life is a mess. HIV is a choice (in most cases). https://t.co/IQ1KGgUjyC",65,no,none,none
News &amp; Views: Prostate-cancer treatment usually fails after time as resistance to therapy develops. It emerges from studies of mice and human cells that a population of immune cells can cause this type of treatment resistance https://t.co/aQicYRInTt,64,no,none,none
"Gov't approved business plan, cause cancer &amp; pretend to treat cancer.  Toxic cancer causing chemical and cancer drugs under one roof. https://t.co/kShOAoAFDh",64,yes,chemical,yes
Opioid addiction is a troubling plague that has invaded our nation like cancer. What is the cause and how do we find the cure? Find out now @NewRightNetwork #NewRightNetwork https://t.co/M7VXJhbXpS,63,no,none,none
"Last year I wrote about Karen Moloney, a @DairyQueen owner who embraced the cause of raising awareness of youth suicide. She has been fighting cancer, and it's winning, but before she goes, I wanted her to know she has made the world a much better place.  https://t.co/gYISELmdkj",59,no,none,none
The 2018 Cancer Gets Lost Charity Auction to benefit @PanCAN is NOW OPEN online for fans around the world until July 11! Register to start bidding on and bookmarking items. #WeHaveToGiveBack!    Link to auction: https://t.co/IQEb5QCRP2 ALL auction details: https://t.co/lpYILhq1cB Check out the amazing selection of #Arrow related things up for auction.  You get a really cool item and the proceeds go to an amazing cause - it's a win-win! Thank you @CancerGetsLOST for your amazing work!  #WeHaveToGiveBack https://t.co/DM9hKwf0x0,56,no,none,none
RT @ChanelMurder: it’s definitely cancer season cause im in my bag and sad as fuck for no reason all at the same time lmaoo,55,no,none,none
"*Processed meats - including ham and bacon - have cause cancer, according to a much-anticipated report by the World Health Organisation. #GoVeganAndBeHealthy  @derasachasauda  Saint Dr. @Gurmeetramrahim Singh ji insan. https://t.co/0IcRCzF5XP",55,yes,processed meats,yes
RT @indiaturnspink: #IndiaTurnsPink Breast cancer Free INDIA 2030. Please support and join with us for this noble cause event. https://t.co…,52,no,none,none
I create all of my Candles in home in my kitchen. I use all natural Coconut Wax and Essential Oils and Wooden Wicks🔑. I decided to use these products because these ingredients done cause or create Cancer like Sou Wax and Cotten Wicks. Read more at 😌 https://t.co/IvhiQGgckA https://t.co/Ld4HYhqg4b Let’s get this thread RETWEETED.. For everyone who follows I will give out 5 Candles to 5 lucky of my followers ✅💪🏾🔥🔥 https://t.co/YoqaRDJCGs,51,yes,natural coconut wax,no
"Stroke is the third most common cause of death in  the Western world, behind heart disease and cancer, and  accounts for over half of all neurologic admissions to community  hospitals.",50,no,none,none
RT @saradesdinn: starbucks could cause cancer and i still wouldn’t stop drinking it everyday,49,no,none,none
RT @tobaccofreeng: Shisha is Tobacco and the leading cause of cancer. 7 things to note: https://t.co/dep6P92tpI,49,yes,shisha,yes
"Today marks the start of #MyelomaAwarenessWeek, and @MyelomaUK have decided to #GoOrange to raise awareness of this form of blood cancer. Join our orange-themed support for a cause close to our hearts: https://t.co/BKDor7K5jm 🍊🧡 https://t.co/X8b2kLmqH0",47,no,none,none
"There is clear evidence that harm reduction products like e-cigarettes produce significantly lower exposures to compounds that cause cancer and cardiovascular disease Great to see our President, Derek Yach (@swimdaily) speak during today's #GFN18 panel.",46,yes,e-cigarrete,no
Opening statements are slated for Monday in the landmark legal case that for the first time puts #Monsanto and its Roundup herbicide on trial over allegations that the company's widely used weed killer can cause #cancer. Via @careygillam in @EcoWatch https://t.co/FHpEJDSxlP,41,no,none,none
"Awaiting the day when some top BJP/RSS leader sets a personal example - publicly shuns AIIMS/Tata Memorial/ US hospitals &amp; opts to get cured through #GauMutra pills  ps: Since most Indian cows eat plastic/ polythene bags - both known to cause cancer - is their piss still magical? https://t.co/at6AfvSWfF Breaking: The research team says that most types of ""common cancers such as cancer of mouth, cervix, lungs, kidney, skin and breast"", will be fully cured by the pills containing cow urine, which are ""safer than chemotherapy"". https://t.co/hFn1Rn6nG6",41,yes,plastic,yes
"Hi, I'd really appreciate it if you would share and donate to my my uncle he got cause of cancer anything would help thank you. ❤️GoFundMe campaign. https://t.co/T4rkE5qEef",39,no,none,none
"There are two main types of light that can hurt your skin and cause the cells to mutate into cancer: ultraviolet A and ultraviolet B.  UVB rays burn your skin, increasing the likelihood of cancer.   UVA damage the skin at a deeper level. https://t.co/mOR54Fu7LW",39,yes,"UV-A, UV-B",yes
"@balramom1 @deepak_mragwani @AsaramBapuJi Nuclear energy may be exposed to high levels of radiation, which can cause cancer and other ailments.  #WorldWar3Movie https://t.co/VltPeQ5zk1",37,yes,nuclear radiation,yes
"The average American increased their consumption of HFCS (mostly from sugar-sweetened drinks and processed food) from zero to over 60 pounds per person per year.  Even when used in moderation it is a major cause of heart disease, obesity, cancer, dementia, tooth decay, and more. https://t.co/y939RJK3i1",37,yes,processed food,yes
At last we can see how plastic micro particles affect the human body. Apart from general physiological changes they can also cause cancer and other diseases. Please share this image with as many people as possible in order to raise awareness about plastic pollution!@UNEnvironment https://t.co/yY10VmAL1m,37,yes,plastic,yes
"Thinking of all the advocates and supporters who contributed in whatever way they felt able (including with donations) to help the cause over the years, including the late Robert ""Bob"" Courtney and Alem Matthees, who heroically won the fight to get the #PACEtrial data. 👏👍 https://t.co/txjRzWkTDK Thank goodness no repeat of 2013 debate where all politicians apart from Countess of Mar supported the #PACEtrial, with one saying [now discredited] recovery rate would be seen as a ""fantastic outcome for the treatment of MS, Parkinson’s disease or cancer"" https://t.co/sYhy0S6Wks https://t.co/Hm4CrVTzHv",36,no,none,none
"I'm about to order 3 things with my bud @ClayneCrawford face on em all for the cause of fighting cancer #slaycancerwithdragons https://t.co/Gv0KsAtVK9 It's #TylerTuesday and we have #Tshirts and hoodies, and tanks, oh my! Link in bio to grab gear and help us #slaycancerwithdragons w/ @TRFdotORG and @Represent 🐉 https://t.co/PP4W1IZxWJ",36,no,none,none
"@1980Dorothy More than 250,000 people die from medical errors every year, making it the third leading cause of death in the United States after heart disease and cancer.",35,no,none,none
Danny Bonaduce shaved his head live on the air today to show support for his sister who is fighting cancer and to encourage people to donate to cancer fighting causes https://t.co/4hfbsRzq4O,35,no,none,none
A different kind of fireworks entirely for #July4th. This is a Burn Pit. https://t.co/1gWeMwtvhC It may cause lung disease and cancer in millions of troops. Please share and join @IAVA’s fight to have #burnpits recognized by the government and to have impacted vets taken care of.,34,yes,fireworks,yes
Obesity is the biggest cause of preventable cancer after smoking and is linked to 13 types of cancer. Today’s @scotgovhealth diet and healthy weight delivery plan is an important step to tackling obesity and scaling down cancer in Scotland. #ScaleDownCancer https://t.co/HgPWrEnRlz,34,yes,obesity,yes
RT @MailOnline: Common high blood pressure and heart drugs are recalled amid fears they could cause CANCER https://t.co/8QR5jkmX9l,34,yes,heart drugs,yes
"Demonizing your political opponents as evil terrorists and murderers who are pro-lung cancer won't cause any violence, but TRUMP SAID FAKE NEWS and that kills people and little puppies! --@michaelianblack https://t.co/dEuYlU2YYD I’ve answered it twice and will answer again. Your terrorist organization, the NRA, is the political and marketing front for death merchants. Your job is to increase gun violence the same way a cigarette salesperson’s job is to increase lung cancer. https://t.co/T9LauC6zb3",34,no,none,none
"I have done my research on cancer horoscope wise and the causes are usually Jupiter and Ketu. Luckily this year the combinations of Ketu and Jupiter is weak, so good medical care can help you recover from this. @iamsonalibendre .",34,no,none,none
The leading causes of death in the United States:  Abortion  Heart Disease  Cancer Respiratory Disease  Car Accidents Stroke Alzheimer’s  Diabetes Influenza and Pneumonia Kidney Disease   ...Notice that guns are not on that list  🤔,34,no,none,none
Cancer is the second leading cause of death.  Experiments indicate that the burning and roasting of flesh creates a chemical element (Methylcholanthrene) which is a powerful carcinogen #GoVeganAndBeHealthy,33,yes,burning flesh,yes
"RT @MailOnline: Chemicals in non-stick pans get into drinking water and may cause cancer, report warns https://t.co/Wj4BYcKAE4",30,yes,chemical,yes
"Overdiagnosis and Overtreatment  ""prescribed medication is the third most common cause of death after heart disease and cancer""    ""one in seven NHS medical and surgical treatments should never have been carried out""  @DrAseemMalhotra @fgodlee  @drchatterjeeuk #LifestyleMedicine https://t.co/821wU34dfs A must read article co authored by our keynote speaker at our Lifestyle Medicine Conference 8th September. @DrAseemMalhotra The harms of too much medicine and why health care professionals need to understand the difference between AR and RR.   https://t.co/9ZrVKkXmU3",29,yes,prescription drugs,yes
"Why don't you just be Honest. It doesn't matter what Trump does, you Libtards will never be satisfied. If he found the cure for cancer you would say he interfered with the natural progress of a disease and is going to mutate and cause the death of everyone. https://t.co/g8Gnd2vuQD An eleventh-hour executive order doesn't fix the harm done to thousands of children and their parents.  Trump's order replaces one crisis for another: children don't belong in jail at all, even with their parents, under any circumstances.",29,no,none,none
"Dioxins are found in the environment &amp; they accumulate in the food chain, within in the fatty tissue of animals. More than 90% of human exposure is through food mainly #meat, #dairy, fish &amp; shellfish Dioxins are highly toxic &amp; cause Cancer #GoVegan #Health https://t.co/1z4W5KVuSJ",28,yes,dioxins,yes
"Inhaling of fumes generated from PFOAs coated utensils, may cause Cancer! Well tested on lab animals this and birds! Use mud based utensils for good health! #SaintRamRahim_Initiative40  #HealthAwarenessCampaign  @MSGians7",28,yes,fumes generated from PFOAs coated utensils,yes
➡️ The first hurricane of the Atlantic hurricane season is roaring across the ocean this morning  ➡️ Multiple high blood pressure and heart drugs in Europe are being recalled because of fears they could cause cancer    ➡️ @ChickFilA ranked #1 among fast-food restaurants https://t.co/E7JCuIpjTk,28,yes,heart drugs,yes
"When you microwave your #food in plastic container, is it safe to eat?   Chemicals in #plastic can cause cancer, heart disease, Alzheimer’s, dementia, Parkinson’s, arthritis and more.  You can save yourself by taking control over your health. Go to https://t.co/1oj8MeVBU3 today! https://t.co/ZUBKI8OHQO",27,yes,plastic,yes
Tobacco use is the leading preventable cause of cancer deaths. People who use tobacco or are exposed to secondhand smoke are more likely to get and die from cancer. Cigarette smoking causes 3 in 10 of all cancer deaths.  @CDC_Cancer #LCSM https://t.co/fD6o8Efnqs https://t.co/1IivBA3kbY,27,yes,tobacco,yes
Tobacco use is the leading preventable cause of cancer deaths. People who use tobacco or are exposed to secondhand smoke are more likely to get and die from cancer. Cigarette smoking causes 3 in 10 of all cancer deaths.  @CDC_Cancer #LCSM https://t.co/fD6o8Efnqs https://t.co/1IivBA3kbY,27,yes,tobacco,yes
"If #Sterlite was shut for a reason that it causes cancer and pollutes the environment, why not the sale of these formalin preserved fishes? In fact these fishes cause even more fatalities as they are being exported across the globe from Chennai! Stringent action needed! https://t.co/cGA5kGaHel A dozen out of 30 fish samples from both Kasimedu &amp; Chindadripet fish markets in #Chennai tested positive for FORMALIN, a cancer inducing chemical, which is usually being used to preserve human corpses in mortuaries.",26,yes,formalin preserved fish,yes
"We should have enough to help our friend whose fighting cancer, @PelleShepp, get a @Mark_Sheppard shirt, which also supports @ConradChinnock. Please, if you would still like to donate to the cause and help with living expenses, DM me for Paypal info. https://t.co/Wa4QaV8jUU",26,no,none,none
"Tobacco smoke contains more than 7,000 chemicals,hundreds of which are toxic and about 70 that can cause cancer. Exposure to second-hand smoke therefore causes sickness,disability and even death! Join the #BreatheCampaign for more info and follow @tobaccofreeng https://t.co/oFoNuKmPWw",26,yes,tobacco,yes
"Sepsis kills over 250,000 people a year in the United States — more than any cause other than cancer and heart disease. Can a blood test change that? https://t.co/q2LXICVmss",26,yes,sepsis,yes
"If #Sterlite was shut for a reason that it causes cancer and pollutes the environment, why not the sale of these formalin preserved fishes? In fact these fishes cause even more fatalities as they are being exported across the globe from Chennai! Stringent action needed! https://t.co/cGA5kGaHel A dozen out of 30 fish samples from both Kasimedu &amp; Chindadripet fish markets in #Chennai tested positive for FORMALIN, a cancer inducing chemical, which is usually being used to preserve human corpses in mortuaries.",26,yes,formalin preserved fish,yes
"Tobacco smoke contains more than 7,000 chemicals,hundreds of which are toxic and about 70 that can cause cancer. Exposure to second-hand smoke therefore causes sickness,disability and even death! Join the #BreatheCampaign for more info and follow @tobaccofreeng https://t.co/oFoNuKmPWw",26,yes,tobacco,yes
"RT @MailOnline: Chemicals in non-stick pans get into drinking water and may cause cancer, report warns https://t.co/pkPLv3S3Sn",25,yes,chemical,yes
It’s Day 2 of Cervical Screening Awareness Week - so our Cancer Information Officer @karen_hobbs tells us what can cause cervical abnormalities. So ladies remember that #SmearTestsSaveLives and attend your appointment when invited - it could just save your life! https://t.co/ON85kcx3k5,25,no,none,none
CANCER-2 •are afraid of their own sensitivity and try to stifle it.  •fluctuating self esteem &amp; confidence. but they can fake it very well in front of ppl •push ppl away &amp; isolate themselves instead of asking for help cause they fear that they'll drive ppl away with clingyness https://t.co/cGk296FQav,24,no,none,none
Colleague 1: I eat a lot of bacon Colleague 2: Doesn't bacon cause cancer? Me: Come over here boys (heads to whiteboard). . . Me: So that's the difference between absolute and relative risk Colleague 2: Those lying bastards! That's bs!!!  https://t.co/qKFDqIXNWS,24,yes,bacon,no
"#TrendingNow #Obesity is a leading cause of #cancer - here, Murphy, Jenab &amp; Gunter review the epidemiological links between excess adiposity and gastrointestinal cancers £ https://t.co/mqdAgWYVmf https://t.co/ETAQJnd98v",24,yes,obesity,yes
"If you're just tuning in... see my last retweet? From @BillyBaldwin ? Do him a favor and please retweet HIS tweet .... he needs just 140 more RTs to earn $10,000 for prostate cancer. It's an important cause &amp; I promised him you'd help 🙏🦄  I'm looking at you, #earpers.",24,no,none,none
Not only are #Vegan #Sausages healthier &amp; tastier..no animal was murdered for them!! As an added bonus..they won't cause #Cancer or #HeartDisease ... Get your grill fired up! Invite your meat eater friends over and show them what they are missing out on!😀✌ https://t.co/1oMKcIjpQW,24,yes,sausage,no
"What is Shisha? It is simply flavoured tobacco that is usually smoked through a water pipe. Like cigarettes &amp; other tobacco products, it is the leading cause of cancer. It is not true that smoking shisha is safer than smoking cigarettes. Here are some of the key things to note👇 https://t.co/ytgRhN5JF8",24,yes,shisha,yes
"@swatic12 And even educated women like us don't know that not all sanitary napkins r good for our health. For comfort we use pads made of plastic n chemicals which can cause cancer. Ur maid is actually using good thing, all she has to do is take care of hygine part of these reusable cloths",23,yes,sanitary pads,yes
"The aluminum ans non stick utensils are affect our body very badly and may be the cause of skin disease, kidney disease,liver disease and cancer. So stop the uses of aluminum and non-stick utensils. The #HealthAwarenessCampaign is started by saint @Gurmeetramrahim ji. https://t.co/kTrk6SzPfU",23,yes,chemical,yes
"Why don't you just be Honest. It doesn't matter what Trump does, you Libtards will never be satisfied. If he found the cure for cancer you would say he interfered with the natural progress of a disease and is going to mutate and cause the death of everyone. https://t.co/g8Gnd2vuQD",23,no,none,none
"RADIOACTIVE METALS, known to cause cancer, mercury and copper in the dubious sugar in circulation as cartels use all dirty tricks to gag media expose. Meanwhile attention is on @DCI_Kenya probe into the grave matter #KEBSscandal @AdanMohamedCS @ODPP_KE #PoisonousSugarKE https://t.co/WQdkQF3M66",23,yes,radioactive metals,yes
i always feel weird watching these again cause  their relationship was so toxic and unhealthy and we all jus laughed watching them ruin each other mentally ya know? 😬 https://t.co/JOv816uJKY,23,no,none,none
"Tobacco smoke contains more than 7,000 chemicals, including hundreds that are toxic and about 70 that can cause cancer.    Turkmen President Saparmurat Niyazov has banned the playing of recorded music at all public events, on television and at weddings.",22,yes,tobacco,yes
"Yep - A retracted Séralini study from 2012 was republished in Environmental Sciences Europe in 2014.    The claim?    GMOs cause cancer.  The fallout?  Multi-year, multi-million $ studies at EU taxpayers’ expense.  The result?  GMOs don’t cause cancer.  https://t.co/91OO3Z4thf https://t.co/TWbatzV14I",21,no,none,none
"In people, the study found that exposure could be associated with pregnancy complications, thyroid issues, liver damage, asthma, decreased responsiveness to vaccines, decreased fertility and kidney and testicular cancer. https://t.co/oSkEul12we The study was suppressed by the .@realDonaldTrump administration because of the “public relations nightmare” it might cause the Pentagon and other pollutersz  https://t.co/MlyPYoRTHv https://t.co/wX780WM3jP",21,yes,exposure,yes
"Examine cancer rates, allergy rates, skin problems, respiratory disease rates etc.  We are happy to poison each other and to be poisoned. Like I said our much ballyhooed ""Kenyan resilience"" is a cause of death. https://t.co/zrGmGlYBoK After Pres. Uhuru Kenyatta called for robust fight against Corruption, suddenly, we have discoveries of fake, illicit &amp; poisoned Sugar, Maize, Milk, Alcohol, Drugs &amp; Cooking Oil .... Could it be that KEBS &amp; KRA had been allowing them all the time &amp; we have been consuming poison?",21,no,none,none
"Methylene chloride is a dangerous chemical found in paint strippers, known to cause liver toxicity, cancer, and even trigger fatal heart attacks. That’s why we’ve asked @SherwinWilliams to do what’s right and get this chemical off the shelves. https://t.co/vArBLrgBdb",21,yes,methylene chloride,yes
"Bowel cancer . . . Australia's 2nd deadliest cancer; Australia's 3rd most common, newly-diagnosed cancer; and Australia's 5th leading cause of death among people aged 45 - 74, according to the latest AIHW report. Australians, it's time to give a $#*! about your bowel. https://t.co/kbXB2Yzk44",21,no,none,none
"Volunteers of Dera Sacha Sauda campaigning against drug abuse and aware masses regarding it's deadly effects on health, may cause cancer too #WorldDrugDay  @derasachasauda https://t.co/z0c2KwheJM",20,no,none,none
ADVENTURE FOR A CAUSE Tasneem Ahmed has taken on Skydive Dubai for Imran Khan Cancer Appeal. Support Tasneem on her Justgiving page:  https://t.co/urn0o5EuGf You can also use your sense of adventure to support #SKMCH and become an online fundraiser at https://t.co/9LxoxvT4Oe https://t.co/5GLCh9n5Gb,20,no,none,none
"Trump &amp; Scott Pruitt tried to suppress disturbing reports that 126 military facilities had nearby water supplies contaminated w/PFAS. PFAS can cause wt gain, liver disease, &amp; cancer.  36 bases had contaminated drinking water on site.  #VetsResistSquadron  https://t.co/FYgGqqEQu4",20,yes,Contaminated ground water,yes
Some viruses and other infectious agents can cause #cancer in infected people. Here's a list: #cancerresearch #research #nfcr #virus #infection #bacteria #parasite #preventcancer #endcancer https://t.co/oNxBSsA7kP,20,yes,viruses,yes
RT @HealthRanger: How #EMFs cause biological damage and even #cancer: https://t.co/RGgee7y5jy,20,yes,EMF,yes
"Hospitals are in crisis, yet the Keebler elf, politicians, and DEA continue to hinder opioid availability.  Yo assholes - ppl are dying here.   If you want to fix the problem, go after the REAL cause of death &amp; ODs  Non-pharmaceutical, ILLICIT fentanyl analogs coming in thru USPS https://t.co/CYMbURSiqZ Ever had to endure recovery from painful surgery with zero pain control? I have and I am far from alone. Cancer/open heart surgery pts now get Tylenol only. DONT ALLOW JEFF SESSIONS OR THIS GOVERNMENT TO DENY YOU BASIC HUMAN RIGHTS. RISE UP!!!✊️✊️✊️✊️ https://t.co/IZBrTXNFEz",19,no,none,none
Spent my Sat afternoon at the Charity run - breast cancer awareness for Europa Donna Hrvatska. A sea of red T-shirts for a good cause (and one #MPC T-shirt in a stealth mode) @MyPeakChallenge @SamHeughan @Safer_Place @10MinDQ @SpomenkaWeaver @F1ghtCamp @Evaaa85 @GHJNancy @Sheugs https://t.co/8EWc4HBqJ4,19,no,none,none
I've been overseeing the @SomethingWittyE stream to help my boi @DanteoftheWest with his funds for his cancer treatments. It does my heart good to see the community (voice acting and abridging) come together for a charitable cause for someone so close to me. Much love.,19,no,none,none
"Tobacco smoke contains more than 7,000 chemicals, including hundreds that are toxic and about 70 that can cause cancer.    Bhutan banned the cultivation, harvesting, production, and sale of harmful tobacco products.",19,yes,tobacco,yes
"Hang on. This will break your heart.  The Baltimore Sun has written beautiful pieces on each of their colleagues killed in the shooting at Capital Gazette.  Wendi Winters, Rebecca Smith, Robert Hiaason, Gerald Fischman, and John McNemara.  (Thread 👇) https://t.co/Rxy5UkQR7J TRUMP’S HATE IS A CANCER What an awful absolutely senseless loss. Trump’s irresponsible,inaccurate hateful rants directed towards Journalists,has a cause and effect relationship w/this terrible tragedy. His words embolden violence in other’s feel they have a supporter in the WH. https://t.co/ioxGBS9U2O",19,no,none,none
"Excited to bring awareness and raise funds for something that is very special to me, @MaryBirdPerkins Center! Thanks to @Pansy_Landry . Donate to a great cause and win some fun prizes. This ends Wednesday and I will match all donations up to $1,000!  https://t.co/vwi6DU4tEU Our new running back, Mr Character Issues himself, @DhaSickest is now running a go fund me and donating to a cancer center. He is also hanging with fans as rewards for donating. What is wrong with this guy? So many issues. We need more like him. #HTTR https://t.co/wcx6bl51yB",19,no,none,none
This cause is near and dear to my heart! Make sure you bid on my jersey and the rest of @USASoftball jerseys to help fight pediatric Cancer!🌻💛💛.                             Link to bid   https://t.co/9Nqjr6KqY1 https://t.co/2xxKCENdhG,19,no,none,none
@komakaikoma in my opinion.. kazoos are cooler cause 1. They come in many colours 2. They're fun 3. Makes. Sounds. 4. They don't cause cancer and literally kill people. 5. Just imagine seeing a cool &amp; mysterious person... then seeing them blow a kazoo... 100% would make my day so much better.,19,no,none,none
"About 700,000 people die worldwide every year due to resistance to antibiotics and it is feared that by 2050 this resistance may cause more deaths than cancer.  https://t.co/Ad1dasqXbX",19,yes,resistance to antibiotics ,yes
This is a huge victory for #IAFF members as we have encouraged members of Congress to support legislative efforts to establish better preventative measures and treatment of cancer among fire fighters. Cancer is one of the leading causes of death of fire fighters.,19,no,none,none
